index_cafeteria,cafeteria_name,img,Latitude,Longitude,openTime,closeTime,소재지전체주소,label_zero-shot,cafeteria_type_orignal,인허가일자,영업상태구분코드,시설총규모,최종수정시점,시/도,구/군,동/면,상세주소
8030,새서울해장국,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_107%2F1441074970444i2YeL_JPEG%2FSUBMIT_1429518282924_36449732.jpg,37.8746758,127.7432768,,,강원특별자치도 춘천시 효자동 20-13,양식,한식,2006-02-27,1,20.52,2022-02-07 11:56:17,강원특별자치도,춘천시,효자동,20-13
8788,강대곱창타운,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150903_259%2F1441244226439sKwnf_JPEG%2F166779405551118_0.jpeg,37.87329,127.7441973,,,강원특별자치도 춘천시 효자동 628-12,분식,호프/통닭,1995-12-19,1,74.2,2022-01-19 13:19:39,강원특별자치도,춘천시,효자동,628-12
9528,밸브,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151228_31%2F1451299729686ON7BU_PNG%2F167178597869566_0.png,37.8532893,127.7475343,,,강원특별자치도 춘천시 석사동 848-10,양식,한식,2005-10-04,1,99.01,2012-02-01 15:57:59,강원특별자치도,춘천시,석사동,848-10
9532,치치,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160813_215%2F14710515948108K2hl_JPEG%2F176763505654306_0.jpeg,37.87329,127.7441973,,,강원특별자치도 춘천시 효자동 628-12,중식,한식,2008-04-18,1,104.78,2022-02-09 17:15:08,강원특별자치도,춘천시,효자동,628-12
9374,토대력(춘천점),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160921_154%2F1474448047859DJuHj_JPEG%2F176871578427321_0.jpeg,37.8725953,127.7342091,,,강원특별자치도 춘천시 효자동 148-12,양식,정종/대포집/소주방,1984-06-16,1,87.69,2023-10-26 14:22:20,강원특별자치도,춘천시,효자동,148-12
7900,미미한식,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161010_266%2F1476027022478TN6FR_JPEG%2F176960406041797_0.jpeg,37.8659196,127.7507517,,,강원특별자치도 춘천시 석사동 740-12 (1층),양식,분식,2007-04-05,1,54,2016-09-12 14:15:21,강원특별자치도,춘천시,석사동,740-12 (1층)
9851,다릿골소나무,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161124_243%2F14799525695843B0ru_JPEG%2F177074508629.,37.8654063,127.753586,,,강원특별자치도 춘천시 석사동 733-18,고기/구이,식육(숯불구이),2011-11-14,1,53.43,2012-04-06 10:02:51,강원특별자치도,춘천시,석사동,733-18
8580,륭림닭발1호점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161207_45%2F1481090252063xzck1_PNG%2Fimage.,37.8738188,127.74163,,,"강원특별자치도 춘천시 효자동 617-9 (3동,1층)",회,기타,2007-10-24,1,83.78,2022-12-22 16:48:15,강원특별자치도,춘천시,효자동,"617-9 (3동,1층)"
10241,멘시루,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170123_134%2F14851330951737TeLV_JPEG%2F186073498834.,37.8728963,127.7454779,,,강원특별자치도 춘천시 효자동 632-13,돈까스,호프/통닭,2015-01-13,1,61.74,2016-12-15 16:54:14,강원특별자치도,춘천시,효자동,632-13
9990,부산산꼼장어,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170207_282%2F1486442277962bmqA4_JPEG%2F186157536777.jpg,37.8661263,127.7525467,,,강원특별자치도 춘천시 석사동 735-11,고기/구이,기타,2010-08-25,1,113.01,2018-12-20 17:14:55,강원특별자치도,춘천시,석사동,735-11
9328,남부순대국,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170328_162%2F1490663878661mB1AO_JPEG%2F20170325_102822.jpg,37.8715436,127.7264579,,,강원특별자치도 춘천시 효자동 547,국밥,한식,2001-12-28,1,30.43,2023-04-06 14:43:36,강원특별자치도,춘천시,효자동,547
8717,아무거나,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170404_218%2F1491280613626Nn2qQ_JPEG%2F186354536673_0.jpg,37.8600282,127.742962,,,강원특별자치도 춘천시 석사동 641-9,양식,한식,1999-07-10,1,73.25,2018-06-15 10:04:06,강원특별자치도,춘천시,석사동,641-9
9886,특별미기사식당,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170419_246%2F1492583534141viJfr_JPEG%2F3.jpg,37.8672853,127.7295899,,,강원특별자치도 춘천시 효자동 697-21,백반,한식,2009-10-26,1,219.1,2017-11-28 15:55:09,강원특별자치도,춘천시,효자동,697-21
9194,내린천,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170419_276%2F14925832698249U5gh_JPEG%2F6.jpg,37.8604207,127.7434041,,,강원특별자치도 춘천시 석사동 640-8,고기/구이,호프/통닭,2001-06-27,1,120.9,2021-04-11 22:34:28,강원특별자치도,춘천시,석사동,640-8
8225,소양강숯불오리,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170422_269%2F1492840277877Ylp3R_JPEG%2F186372548137530_0.jpg,37.8715436,127.7264579,,,강원특별자치도 춘천시 효자동 547,회,한식,2002-04-22,1,65.43,2011-11-24 10:40:34,강원특별자치도,춘천시,효자동,547
10919,예부룩,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170511_56%2F1494483001268bYBsv_JPEG%2Fimage.,37.8593559,127.744889,,,강원특별자치도 춘천시 석사동 495-9,국수,까페,2015-01-29,1,86.53,2015-01-29 15:54:12,강원특별자치도,춘천시,석사동,495-9
11266,유명한맛돼지,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170512_199%2F14945715106060FDD2_JPEG%2F186462557530_0.jpg,37.8510512,127.7452246,,,강원특별자치도 춘천시 석사동 888-5,고기/구이,식육(숯불구이),2016-08-24,1,142.55,2022-02-07 17:33:22,강원특별자치도,춘천시,석사동,888-5
9093,퇴계골,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170515_175%2F14948090040663dy0l_JPEG%2F20170504_0950221.jpg,37.8488972,127.7510086,,,강원특별자치도 춘천시 석사동 921-5 (1층),고기/구이,한식,1997-03-10,1,103.05,2021-12-19 16:45:10,강원특별자치도,춘천시,석사동,921-5 (1층)
8184,바다마을,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170525_32%2F1495699475191N5zII_JPEG%2Fv.jpg,37.8642469,127.7360464,,,강원특별자치도 춘천시 효자동 301-14 (2동),고기/구이,횟집,2003-08-13,1,33.61,2022-02-07 10:49:07,강원특별자치도,춘천시,효자동,301-14 (2동)
8454,황가네돈까스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170530_115%2F1496125725075xbIA2_JPEG%2F1.jpg,37.8574807,127.7441308,,,강원특별자치도 춘천시 석사동 662-4,국밥,한식,2012-09-13,1,31.92,2019-01-10 14:27:12,강원특별자치도,춘천시,석사동,662-4
8491,삼락,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170530_7%2F1496121226355yuJYA_JPEG%2F186480544363.jpg,37.8612836,127.7427276,,,강원특별자치도 춘천시 석사동 639-5,고기/구이,한식,2005-12-09,1,147.72,2017-11-28 17:31:16,강원특별자치도,춘천시,석사동,639-5
8925,소쿠리해장국,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170601_296%2F1496313489396KxhKf_JPEG%2F20170501_083433.jpg,37.8735826,127.7432254,,,강원특별자치도 춘천시 효자동 626-8,중식,호프/통닭,2000-03-02,1,79.4,2013-01-31 11:32:23,강원특별자치도,춘천시,효자동,626-8
8027,송탄햄버거,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170601_66%2F14963102023902s9hO_JPEG%2F20170501_083534.jpg,37.8732647,127.7437194,,,"강원특별자치도 춘천시 효자동 628-5 (1층, 3동)",버거,패스트푸드,2006-02-22,1,32,2016-02-25 15:44:23,강원특별자치도,춘천시,효자동,"628-5 (1층, 3동)"
8161,퓨전안동찜닭,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170605_267%2F1496650218257DkjiY_JPEG%2F186555574037999_0.jpg,37.8737415,127.7418072,,,강원특별자치도 춘천시 효자동 617-11,고기/구이,한식,2000-12-09,1,105.67,2021-09-24 15:10:18,강원특별자치도,춘천시,효자동,617-11
9337,신마포갈매기(강원대점),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170607_291%2F1496808327491xMaB6_JPEG%2F1.jpg,37.873279,127.7416663,,,강원특별자치도 춘천시 효자동 767-2,양식,식육(숯불구이),2001-09-14,1,105.44,2022-02-07 9:45:13,강원특별자치도,춘천시,효자동,767-2
8052,두하막국수,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170608_107%2F1496890364429PxTnc_JPEG%2FIMG_8260.jpg,37.8751809,127.7400201,,,강원특별자치도 춘천시 효자동 612-14 (1층),국수,한식,2008-12-09,1,112.36,2018-08-22 10:41:10,강원특별자치도,춘천시,효자동,612-14 (1층)
7607,리네,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170615_251%2F1497485418703QvyY1_JPEG%2F20170612_200346.jpg,37.8732164,127.7421838,,,강원특별자치도 춘천시 효자동 11-2,양식,기타,2009-08-26,1,129.31,2021-10-27 11:45:43,강원특별자치도,춘천시,효자동,11-2
10951,피자헛석사점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170616_256%2F1497574014993wqX0e_JPEG%2F186566497674403_0.jpeg,37.8619735,127.7466275,,,강원특별자치도 춘천시 석사동 774-3,중식,기타,2021-03-23,1,81.42,2022-01-20 10:27:58,강원특별자치도,춘천시,석사동,774-3
9874,홍가스무숲점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170701_296%2F1498902490239GxP5f_JPEG%2F186651587830003_0.jpg,37.8488262,127.7506365,,,강원특별자치도 춘천시 석사동 927-2 (1층),백반,식육(숯불구이),2006-06-12,1,133.12,2018-06-19 16:14:52,강원특별자치도,춘천시,석사동,927-2 (1층)
9456,양지식당,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170702_78%2F1498974681817zBtUr_JPEG%2F20170625_120651.jpg,37.8486232,127.750441,,,강원특별자치도 춘천시 석사동 942-3 (1층),고기/구이,한식,2005-01-19,1,83.92,2012-02-01 14:45:27,강원특별자치도,춘천시,석사동,942-3 (1층)
9901,오징어천국,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170802_42%2F1501643429725aeLm1_JPEG%2F20170728_100545.jpg,37.8500365,127.7500216,,,강원특별자치도 춘천시 석사동 911-2 (1층),회,한식,2006-07-25,1,101.3,2021-12-19 16:43:24,강원특별자치도,춘천시,석사동,911-2 (1층)
8015,미도숯불갈비,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170922_140%2F1506053533488cGyiG_JPEG%2Fk1qV_ViDdaJlY73l1Os6P4SI.jpg,37.8719329,127.7335917,,,"강원특별자치도 춘천시 효자동 665-6 (1층,2동)",고기/구이,식육(숯불구이),2007-10-15,1,45.36,2022-11-04 10:08:48,강원특별자치도,춘천시,효자동,"665-6 (1층,2동)"
7808,친구친구,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170925_144%2F1506329943634Bc836_JPEG%2F95bPNhz7_zPFxHL0MRsPT2mP.jpg,37.8723352,127.7348133,,,강원특별자치도 춘천시 효자동 150-15 외 1필지,고기/구이,분식,2008-01-14,1,92.4,2023-10-26 14:23:00,강원특별자치도,춘천시,효자동,150-15 외 1필지
8516,서울녹각삼계탕,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171023_291%2F1508740789810x96SC_JPEG%2FGubLYUyzxMmpfzXW6GpcmU6f.jpg,37.8636193,127.7350297,,,강원특별자치도 춘천시 효자동 302-40,백반,한식,1993-05-27,1,231.48,2022-04-14 9:38:06,강원특별자치도,춘천시,효자동,302-40
9295,형제반점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171031_296%2F1509408745977wNsc5_JPEG%2FCqE7VuduHLEL_I43e1ssSM2h.jpg,37.8705118,127.7244151,,,강원특별자치도 춘천시 효자동 682-25,국수,한식,1987-11-20,1,97.58,2022-01-18 14:41:34,강원특별자치도,춘천시,효자동,682-25
7609,한아름밥상,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171031_34%2F1509438360036NUpdd_JPEG%2F5c5yOzPGx7tWmwXPUCILDZcW.jpg,37.8657444,127.7316459,,,강원특별자치도 춘천시 효자동 712-27,고기/구이,식육(숯불구이),2010-05-10,1,43.9,2015-09-01 13:28:14,강원특별자치도,춘천시,효자동,712-27
9305,진미닭갈비본점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171114_285%2F1510642986823gDemQ_JPEG%2F2f_hfQipQNrfO8Po3TGw8wGV.jpg,37.8681763,127.7367037,,,강원특별자치도 춘천시 효자동 174-59,고기/구이,한식,1996-06-21,1,89.52,2013-01-16 9:19:41,강원특별자치도,춘천시,효자동,174-59
9311,김밥천국,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171127_194%2F1511744448131vc9qt_JPEG%2FkGF0rWhFYkpu3D7Z83cL9u4E.jpg,37.8563578,127.7433711,,,강원특별자치도 춘천시 석사동 818-3,국수,한식,2001-01-26,1,78.59,2019-04-08 10:03:18,강원특별자치도,춘천시,석사동,818-3
9003,청송막국수,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171218_227%2F1513562322120n9sNy_JPEG%2FoxCcjmyTTwz9QLJPMd9rlVva.jpg,37.8602848,127.7432541,,,강원특별자치도 춘천시 석사동 641,국수,한식,1992-12-30,1,110.59,2022-01-19 11:38:32,강원특별자치도,춘천시,석사동,641
8559,시민횟집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180228_100%2F15198071976250VN14_PNG%2F1Q6SFftJ0IMJIMMTenwjz0sC.png,37.8613335,127.7425961,,,강원특별자치도 춘천시 석사동 639-4,회,횟집,2012-02-07,1,125.52,2021-01-12 17:36:28,강원특별자치도,춘천시,석사동,639-4
8424,화동손칼국수,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180306_216%2F1520318145914f4sk6_JPEG%2F8e8ALYLxyp0GdJUw3P8G8yU7.jpg,37.8773845,127.7367677,,,강원특별자치도 춘천시 효자동 640-5,국밥,한식,2005-03-17,1,98,2023-06-01 16:25:17,강원특별자치도,춘천시,효자동,640-5
9336,행복한두부,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180406_70%2F1522977409579ik7dG_JPEG%2FAP9lcftxlR162Bun2ImlLIC7.jpg,37.8747454,127.7353455,,,강원특별자치도 춘천시 효자동 651-6,양식,한식,2001-07-19,1,71.72,2021-04-11 22:56:27,강원특별자치도,춘천시,효자동,651-6
9272,번개치킨,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180419_67%2F1524101087452f2Kyy_PNG%2F3bEtyWy9OLug0vCufALmz8eW.png,37.8614208,127.7423328,,,강원특별자치도 춘천시 석사동 639-2 10통2반,치킨,통닭(치킨),1996-11-27,1,45.24,2014-05-29 9:57:28,강원특별자치도,춘천시,석사동,639-2 10통2반
8824,원조남부막국수,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180530_133%2F15276574971968UWGp_JPEG%2FmZ-mWFD5LVHzbxcIBbMZ3nVq.jpg,37.8694792,127.7243415,,,강원특별자치도 춘천시 효자동 590-6,국수,한식,1990-10-16,1,145.85,2021-04-12 10:01:14,강원특별자치도,춘천시,효자동,590-6
8565,용두동할매쭈꾸미,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180702_147%2F1530512142551lUWwn_JPEG%2F4XvXlSzgFzY4YlXmN7j4wu_Y.jpg,37.8501177,127.7490477,,,강원특별자치도 춘천시 석사동 907-5,양식,호프/통닭,2006-10-17,1,39,2012-02-01 17:39:56,강원특별자치도,춘천시,석사동,907-5
9430,옛날잔치국수,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180706_172%2F1530852116378Vkh3q_JPEG%2FbC39Xbfg3O6kXxBSuCFIRmWf.jpg,37.8723033,127.7337953,,,강원특별자치도 춘천시 효자동 665-1,국수,한식,1998-11-16,1,26.6,2012-12-05 15:23:49,강원특별자치도,춘천시,효자동,665-1
9817,쪼끼쪼끼(석사3호점),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180710_297%2F1531210768004ES9pq_JPEG%2FpqJBMwEvh1QC3RfmhGO9B9pu.jpg,37.8514352,127.7449184,,,"강원특별자치도 춘천시 석사동 888-3 (화인프라자106호,107호)",치킨,호프/통닭,2004-10-28,1,100.98,2020-06-25 15:24:03,강원특별자치도,춘천시,석사동,"888-3 (화인프라자 106호,107호)"
9418,썬호프,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180717_230%2F1531790625500vjx4g_JPEG%2FqRZl_ln3X_6HNNgXZTkEqZ6T.jpg,37.8661085,127.7328001,,,강원특별자치도 춘천시 효자동 710-14,양식,호프/통닭,1999-09-13,1,35.48,2012-12-12 9:55:38,강원특별자치도,춘천시,효자동,710-14
7604,오공부대찌개,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180731_166%2F153300027672830x7s_JPEG%2FBrHdri9zlbWw5J-hNIPYN443.jpg,37.858589,127.7428143,,,강원특별자치도 춘천시 석사동 669,국밥,한식,2012-07-11,1,49.15,2021-01-06 15:50:15,강원특별자치도,춘천시,석사동,669
9646,황토주막,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180809_205%2F1533780133704r2mU1_JPEG%2F94MSq0ReTUFx8HxEeMucyrPD.jpg,37.8699753,127.7384149,,,강원특별자치도 춘천시 효자동 180-10 외1필지.1층,치킨,한식,2005-10-10,1,82.63,2023-07-19 13:42:31,강원특별자치도,춘천시,효자동,180-10 외1필지.1층
9394,팔호스넥,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180810_220%2F1533865283532G4UuU_JPEG%2FxhWpOucWTy-06NKxoNQvce65.jpg,37.8770297,127.7356791,,,강원특별자치도 춘천시 효자동 641-3,양식,분식,1988-11-02,1,0,2022-01-18 14:44:40,강원특별자치도,춘천시,효자동,641-3
9905,흥부전,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180907_42%2F1536278591422U0Qa7_JPEG%2FxfeSjiutUrVNWUwjqeSYyOm6.jpg,37.8615197,127.7413068,,,강원특별자치도 춘천시 석사동 700-1 (1층),찜/탕/찌개,정종/대포집/소주방,2009-10-27,1,79,2023-10-25 17:50:22,강원특별자치도,춘천시,석사동,700-1 (1층)
9174,뼈다귀천국,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181203_77%2F1543801050549cTYPq_JPEG%2F-ZPW0WQqBGXPmw74lYSodLNI.jpeg.jpg,37.8761738,127.736249,,,강원특별자치도 춘천시 효자동 653-14,회,한식,1995-06-21,1,92.05,2021-12-20 14:46:07,강원특별자치도,춘천시,효자동,653-14
9741,서래맥주집,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181222_117%2F15454765297707DCzm_JPEG%2FAgVCR94GH6SrSvaMB0FJMVXk.jpg,37.8741557,127.7422889,,,"강원특별자치도 춘천시 효자동 618-14 (2동,1층)",고기/구이,호프/통닭,2005-10-21,1,100.08,2022-02-07 11:46:29,강원특별자치도,춘천시,효자동,"618-14 (2동,1층)"
8786,만석식당(강원대점),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181222_165%2F15454799999437QFcE_JPEG%2FHNp6Kgn_xY6NllXT5SzTBsEU.jpg,37.8734188,127.7444241,,,강원특별자치도 춘천시 효자동 629-15,고기/구이,한식,1995-09-30,1,91.34,2022-12-21 10:42:06,강원특별자치도,춘천시,효자동,629-15
9422,주동아리,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181222_169%2F1545479357288U67dq_JPEG%2Fomp-tiC2fyRIGySS7Gnh3nwp.jpg,37.873521,127.7437557,,,강원특별자치도 춘천시 효자동 628,치킨,경양식,1990-09-22,1,64.07,2022-06-30 7:14:58,강원특별자치도,춘천시,효자동,628
